Date,Close,Cash,Qty,AvgPrice,TotalVal,Buys,Sells,Regime
2022-07-19,16.98,9205.1,0,0.0,9205.1,0,0,StrongUp
2022-07-20,18.22,7707.33,82,18.22,9201.37,82,0,StrongUp
2022-07-21,19.08,7730.21,78,19.08,9218.45,78,82,StrongDown
2022-07-22,17.62,6246.43,162,18.32,9100.87,84,0,StrongDown
2022-07-25,17.28,4756.63,248,17.96,9042.07,86,0,StrongDown
2022-07-26,16.43,3274.24,338,17.55,8827.58,90,0,StrongDown
2022-07-27,18.75,9111.81,0,0.0,9111.81,0,338,StrongUp
2022-07-28,19.38,7635.24,76,19.38,9108.12,76,0,StrongDown
2022-07-29,19.85,7641.73,74,19.85,9110.63,74,76,StrongUp
2022-08-01,20.0,7634.7,74,20.0,9114.33,74,74,StrongUp
2022-08-02,19.95,7641.34,74,19.95,9117.27,74,74,StrongUp
2022-08-03,21.58,9130.93,0,0.0,9130.93,0,74,StrongUp
2022-08-04,22.07,9066.21,3,21.52,9132.43,3,0,Stable
2022-08-05,21.55,6101.4,142,21.29,9161.5,142,3,Stable
2022-08-08,20.55,1869.27,352,20.58,9101.11,210,0,Stable
2022-08-09,17.7,379.18,436,20.02,8094.2,84,0,StrongDown
2022-08-10,19.95,8533.56,0,0.0,8533.56,0,436,Stable
2022-08-11,19.76,8533.56,0,0.0,8533.56,0,0,Stable
2022-08-12,21.59,8533.56,0,0.0,8533.56,0,0,Stable
2022-08-15,21.72,7370.55,54,21.48,8543.43,54,0,Stable
2022-08-16,21.13,5032.02,164,21.3,8497.34,110,0,Stable
2022-08-17,19.54,3543.26,240,20.74,8232.86,76,0,StrongDown
2022-08-18,20.91,8280.37,0,0.0,8280.37,0,240,StrongUp
2022-08-19,19.17,6781.37,78,19.17,8276.63,78,0,StrongDown
2022-08-22,16.98,5283.84,166,18.01,8101.69,88,0,StrongDown
2022-08-23,17.35,8134.33,0,0.0,8134.33,0,166,Stable
2022-08-24,17.39,7618.42,30,17.15,8139.97,30,0,Stable
2022-08-25,19.32,8149.89,0,0.0,8149.89,0,30,Stable
2022-08-26,15.96,4971.88,192,16.51,8036.2,192,0,Stable
2022-08-29,15.01,3497.71,290,16.0,7849.16,98,0,StrongDown
2022-08-30,14.53,4763.18,222,14.25,7988.84,222,290,Stable
2022-08-31,14.0,6504.14,106,14.0,7988.14,106,222,StrongDown
